HIP,Proxy,RAhms,DEdms,Vmag,VarFlag,r_Vmag,RAdeg,DEdeg,AstroRef,Plx,pmRA,pmDE,e_RAdeg,e_DEdeg,e_Plx,e_pmRA,e_pmDE,DE:RA,Plx:RA,Plx:DE,pmRA:RA,pmRA:DE,pmRA:Plx,pmDE:RA,pmDE:DE,pmDE:Plx,pmDE:pmRA,F1,F2,BTmag,e_BTmag,VTmag,e_VTmag,m_BTmag,B-V,e_B-V,r_B-V,V-I,e_V-I,r_V-I,CombMag,Hpmag,e_Hpmag,Hpscat,o_Hpmag,m_Hpmag,Hpmax,HPmin,Period,HvarType,moreVar,morePhoto,CCDM,n_CCDM,Nsys,Ncomp,MultFlag,Source,Qual,m_HIP,theta,rho,e_rho,dHp,e_dHp,Survey,Chart,Notes,HD,BD,CoD,CPD,(V-I)red,SpType,r_SpType
84379," ",17 15 01.92,+24 50 22.5,3.12,1,G,258.75801735,24.83958739," ",41.55,-21.14,-157.68,0.3,0.46,0.65,0.36,0.62,0.04,-0.07,-0.15,-0.09,0.07,-0.12,0.06,0.02,-0.1,0.12,0,-1.27,3.242,0.002,3.136,0.002," ",0.08,0.004,G,0.06,0.03,C," ",3.1502,5.0E-4,0.005,194," ",3.14,3.16,,M," "," ",17151+2451,I,1,1," "," "," ","  ",,,,,,S," "," ",156164,"B+25 3221 ","          ","          ",0.06,A3IVv SB,G
83081," ",16 58 37.23,-55 59 24.2,3.12,1,G,254.65512817,-55.99005508," ",5.68,-18.31,-35.29,0.67,0.58,0.91,0.73,0.63,0.16,-0.41,-0.38,0.32,0.01,0.02,0.08,0.4,-0.14,-0.09,0,0.09,5.234,0.005,3.301,0.004," ",1.552,0.097,G,1.6,0.02,A," ",3.2393,0.0012,0.008,75," ",3.23,3.25,,M," "," ","          "," ",,1," "," "," ","  ",,,,,,S," "," ",152786,"          ","          ",P-55  7766,1.6,K5III,X
73334,H,14 59 09.70,-42 06 14.9,3.13,,G,224.79041254,-42.10414199,*,6.05,-17.76,-21.33,0.6,0.46,0.73,0.56,0.61,-0.36,-0.21,0.13,-0.18,-0.1,-0.26,-0.13,0.05,-0.21,-0.12,0,0.85,2.894,0.003,3.097,0.002,*,-0.208,0.01,G,-0.21,0.02,A,*,3.0671,7.0E-4,0.005,90,*,3.06,3.08,,D," "," ",14592-4206,I,1,2,C,S,A,AC,155,0.125,0.01,1.38,0.3,S," "," ",132200,"          ",C-41  9342,P-41  6979,-0.21,B2IV,X
45860," ",09 21 03.46,+34 23 33.1,3.14,1,G,140.26441169,34.39252592," ",14.69,-222.8,14.78,0.7,0.59,0.81,0.68,0.49,-0.28,0.42,-0.32,-0.23,0.24,-0.28,0.15,-0.45,0.05,-0.19,0,-0.16,5.183,0.005,3.316,0.004," ",1.55,0.008,G,1.65,0.03,C," ",3.252,0.0014,0.008,55," ",3.24,3.27,,M," "," ","          "," ",,1," "," "," ","  ",,,,,,S," "," ",80493,"B+35 1979 ","          ","          ",1.65,M0IIIvar,X
84380," ",17 15 02.85,+36 48 33.0,3.16,1,G,258.76189282,36.80915527," ",8.89,-27.35,2.7,0.4,0.43,0.52,0.41,0.5,0.04,-0.01,0.05,-0.03,0.11,-0.16,0.13,0.08,0.03,0.08,1,1.37,5.029,0.002,3.311,0.002," ",1.437,0.0,G,1.31,0.0,G," ",3.3121,6.0E-4,0.006,125," ",3.3,3.32,,M," "," ","          "," ",,1," "," "," ","  ",,,,,,S," "," ",156283,"B+36 2844 ","          ","          ",1.31,K3IIvar,X
46701," ",09 31 13.35,-57 02 03.8,3.16,1,H,142.80564072,-57.0343916," ",13.72,-32.58,6.08,0.42,0.42,0.51,0.47,0.46,0.07,-0.06,0.12,0.07,-0.07,0.15,-0.1,-0.01,0.0,-0.11,0,-0.51,5.196,0.003,3.346,0.002," ",1.538,0.003,T,1.59,0.01,L," ",3.2811,9.0E-4,0.009,116," ",3.27,3.29,,M," "," ","          "," ",,1," "," "," ","  ",,,,,,S," "," ",82668,"          ",C-56  2822,P-56  2270,1.61,K5III,X
46853," ",09 32 52.33,+51 40 43.0,3.17,,H,143.21802191,51.67860208," ",74.15,-947.06,-535.6,0.56,0.45,0.74,0.6,0.39,-0.19,0.14,-0.1,-0.09,-0.01,-0.34,-0.03,-0.18,0.01,-0.14,0,1.61,3.748,0.004,3.232,0.003," ",0.475,0.018,G,0.56,0.01,G," ",3.277,5.0E-4,0.004,80," ",3.27,3.29,," "," "," ",09329+5141,I,1,1," "," "," ","  ",,,,,,S," "," ",82328,"B+52 1401 ","          ","          ",0.56,F6IV,X
83895," ",17 08 47.23,+65 42 52.7,3.17,1,G,257.19677111,65.71463676," ",9.6,-20.76,19.15,0.42,0.44,0.47,0.56,0.59,0.08,-0.14,-0.22,-0.12,-0.17,0.23,-0.08,-0.21,0.16,0.2,0,0.03,3.042,0.002,3.163,0.002," ",-0.12,0.002,G,-0.14,0.03,C," ",3.1359,6.0E-4,0.005,90," ",3.13,3.16,,M," "," ","          "," ",,1,G," "," ","  ",,,,,,S," ",P,155763,"B+65 1170 ","          ","          ",-0.14,B6III,X
92041," ",18 45 39.35,-26 59 26.8,3.17,,G,281.41397083,-26.9907794," ",14.14,51.15,0.45,0.81,0.48,0.88,1.05,0.73,-0.02,-0.25,0.0,0.1,-0.09,-0.25,-0.05,-0.4,0.06,0.1,2,1.27,3.049,0.003,3.152,0.003," ",-0.107,0.007,G,-0.1,0.02,A," ",3.1339,7.0E-4,0.004,69," ",3.13,3.14,," "," "," ","          "," ",,1," "," "," ","  ",,,,,,S," "," ",173300,"          ",C-27 13170,P-27  6511,-0.1,B8.5III,3
31685," ",06 37 45.67,-43 11 45.3,3.17,1,G,99.44029869,-43.19592394," ",7.71,-0.43,-3.99,0.42,0.52,0.52,0.46,0.61,-0.08,-0.03,-0.11,-0.03,0.07,0.1,0.03,-0.3,-0.02,-0.27,0,-0.55,3.051,0.003,3.161,0.002," ",-0.103,0.015,G,-0.07,0.02,A," ",3.1395,0.0018,0.014,107," ",3.13,3.17,,U,2," ","          "," ",,1," "," "," ","  ",,,,,,S," "," ",47670,"          ",C-43  2576,P-43   946,-0.07,B8III SB,G
